display_name,fixed_name
"SHARK, PORBEAGLE",PORBEAGLE SHARK
"SKATE WINGS, LITTLE (SUMMER)",LITTLE (SUMMER) SKATE WINGS
"SKATE WINGS, WINTER (BIG)",WINTER (BIG) SKATE WINGS
TRIGGERFISH,TRIGGERFISH
"TUNA, BLUEFIN",BLUEFIN TUNA
"WHELK, KNOBBED",KNOBBED WHELK
CODGMSS,"ATLANTIC COD, GULF OF MAINE"
"CRAB, SPECIES NOT SPECIFIED","CRAB, SPECIES NOT SPECIFIED"
"CRAB, SPIDER",SPIDER CRAB
"DOGFISH, SPECIES NOT SPECIFIED","DOGFISH, SPECIES NOT SPECIFIED"
FLWGMSS,WINTER FLOUNDER / BLACKBACK
HADGM,"HADDOCK, GULF OF MAINE"
SEA URCHINS,SEA URCHINS
SHRIMP (PANDALID),SHRIMP (PANDALID)
"SHRIMP, SPECIES NOT SPECIFIED","SHRIMP, SPECIES NOT SPECIFIED"
"SKATE, THORNY",THORNY SKATE
"CLAM, SURF",SURF CLAM
"CRAB, BLUE",BLUE CRAB
"CRAB, HORSESHOE",HORSESHOE CRAB
"DRUM, BLACK",BLACK DRUM
"EEL, AMERICAN",AMERICAN EEL
"HERRING, BLUE BACK",BLUE BACK HERRING
"MACKEREL, KING",KING MACKEREL
"MACKEREL, SPANISH",SPANISH MACKEREL
MENHADEN,MENHADEN
OTHER FINFISH,OTHER FINFISH
"PUFFER, NORTHERN",NORTHERN PUFFER
"SHAD, HICKORY",HICKORY SHAD
SHRIMP (MANTIS),SHRIMP (MANTIS)
"SILVERSIDES, ATLANTIC",ATLANTIC SILVERSIDES
SPOT,SPOT
"TUNA, LITTLE",LITTLE TUNA
"CRAB, RED",RED CRAB
"SKATE, BARNDOOR",BARNDOOR SKATE
"SHARK, THRESHER",THRESHER SHARK
"TUNA, SKIPJACK",SKIPJACK TUNA
SKATE WINGS,SKATE WINGS
"CRAB, GREEN",GREEN CRAB
"PERCH, WHITE",WHITE PERCH
"WHELK, LIGHTNING",LIGHTNING WHELK
"SCALLOP, SEA",SEA SCALLOP
SCALLOPS/SHELLS,SCALLOPS/SHELLS
"CROAKER, ATLANTIC",ATLANIC CROAKER
SWORDFISH,SWORDFISH
"TILEFISH, BLUELINE",BLUELINE TILEFISH
"SHARK, BLUE",BLUE SHARK
LUMPFISH,LUMPFISH
MONK HEADS,MONK HEADS
"TUNA, BIG EYE",BIG EYE TUNA
ALEWIFE,ALEWIFE
"HAKE,SPOTTED",SPOTTED HAKE
"CRAB, CANCER",CANCER CRAB
HARD QUAHOG,HARD QUAHOG
"SKATE WINGS, LITTLE/WINTER MIXED","SKATE WINGS, LITTLE/WINTER MIXED"
"SKATE, SMOOTH",SMOOTH SKATE
"SKATE WINGS, SMOOTH","SKATE WINGS, SMOOTH"
